track_id,Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration_ms_stand,duration_norm,loudness_stand,loudness_norm,tempo_norm,artist_id,artist_popularity,Argentina,Australia,Austria,Belgium,Bolivia: Plurinational State of,Brazil,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Dominican Republic,Ecuador,El Salvador,Estonia,Finland,France,Germany,Greece,Guatemala,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Ireland,Italy,Japan,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Netherlands,New Zealand,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan: Province of China,Turkey,United Kingdom of Great Britain and Northern Ireland,United States of America,Uruguay,global
05nbZ1xxVNwUTcGwLbp7CN,Myself,NAV,0.654,0.393,5.0,-7.621,0.0,0.284,0.664,0.0,0.114,0.105,159.741,226040.0,4.0,226040.0,0.34229941943801034,-7.621,0.7786220993146566,0.6122147386998518,7rkW85dBwwrJtlHRDkJDAC,79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03162955904011089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
09QOedW1xozFDsXUI7jTeV,Dile Que Tu Me Quieres Remix (feat. Yandel),Ozuna,0.71,0.74,1.0,-4.634,1.0,0.0596,0.103,0.0,0.0582,0.882,175.93599999999995,237400.0,4.0,237400.0,0.3622787717622809,-4.634,0.850450883732115,0.6983047784091813,1i8SpTcr7yvPOmcqrbnVXY,94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05285524568393094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0A2h9QjoPdbVwa9LFiijqM,Si Ella Quisiera - Remix,Justin Quiles,0.777,0.687,9.0,-5.667000000000002,0.0,0.0722,0.0385,0.0,0.134,0.6920000000000001,89.99799999999998,231158.0,4.0,231158.0,0.35130068045875124,-5.667000000000002,0.8256101959841289,0.24147206259933965,14zUHaJZo1mnYtn6IBRaRP,77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.020787746170678335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0B6GRS3vGtzu6w5BQXqWMq,Kung Fu,Dasoul,0.8170000000000001,0.804,1.0,-4.372,1.0,0.0651,0.13699999999999998,1.4e-05,0.0917,0.57,104.996,234280.0,4.0,234280.0,0.3567914848563193,-4.372,0.8567512324155344,0.3211990410223425,0lNg9YtW8USxeZZnEqz3RQ,55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.32585624698504584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07749138411375034,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,Bruno Mars,0.601,0.271,0.0,-8.687999999999999,1.0,0.0403,0.937,0.0,0.14400000000000002,0.411,145.494,213827.0,4.0,213827.0,0.32081985694361637,-8.687999999999999,0.7529638090657689,0.5364799566227401,0du5cEVh5yTK9QJze8zA0C,89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1859793218730008,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0B8B8cVRFIG1yznoQe7c9s,Setting Fires,The Chainsmokers,0.627,0.7170000000000001,8.0,-5.751,0.0,0.0376,0.017,0.0,0.261,0.561,105.05,247427.0,4.0,247427.0,0.37991371593089535,-5.751,0.8235902368642539,0.3214860964187181,69GGBxA162lTqCwzJG5jLp,88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14346503977968175,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.19721313806341534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0B8QzDH7YWih85V5SEMnyJ,Money Longer,Lil Uzi Vert,0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.108,0.478,136.173,198944.0,4.0,198944.0,0.2946444431546975,-7.817,0.7739088613682819,0.486931005703897,4O15NlyKLIASxsJ0PrXPfz,86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0725807848912761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0BiGd2FNDQ0eh79ZHfp6tS,All I Wanna Do,Martin Jensen,0.728,0.794,1.0,-3.992,1.0,0.0635,0.14800000000000002,0.0,0.0688,0.523,112.071,194360.0,4.0,194360.0,0.2865823523928616,-3.992,0.8658891427197307,0.3588086137882275,4ehtJnVumNf6xzSCDk8aLB,71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12268812650007059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0CcQNd8CINkwQfe1RDtGV6,Believer,Imagine Dragons,0.779,0.787,10.0,-4.305,0.0,0.108,0.0524,0.0,0.14,0.708,124.982,204347.0,4.0,204347.0,0.3041469467293484,-4.305,0.8583623902849585,0.4274414327253783,53XhwfbYqKCa1cC15pYq2q,90,-1.0,0.07340079427404698,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.565380643950061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13401477611218235,-1.0,0.18964143426294822,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.809283851078966,-1.0,-1.0,0.03209018905568309,-1.0,-1.0,-1.0
0CokSRCu5hZgPxcZBaEzVE,Glorious (feat. Skylar Grey),Macklemore,0.731,0.794,0.0,-5.126,0.0,0.0522,0.0323,2.59e-05,0.112,0.35600000000000004,139.994,220454.0,4.0,220454.0,0.3324750653813752,-5.126,0.8386196946014188,0.5072428329178118,3JhNCzhSMTxs9WLGJJxWOY,76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2932986536107711,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3415642534245019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
