track_id,Track Name,Artist,Region,Streams,full_region_name,normalized_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,duration_ms_stand,duration_norm,loudness_stand,loudness_norm,tempo_norm
00vk0sEfb6mr2ehwSw0Uhn,Don't Be So Shy - Filatov & Karas Remix,Imany,se,17543,Sweden,0.022761912047689382,0.773,0.8490000000000001,8.0,-8.345,0.0,0.0587,0.057,0.0103,0.397,0.913,119.981,audio_features,00vk0sEfb6mr2ehwSw0Uhn,spotify:track:00vk0sEfb6mr2ehwSw0Uhn,https://api.spotify.com/v1/tracks/00vk0sEfb6mr2ehwSw0Uhn,https://api.spotify.com/v1/audio-analysis/00vk0sEfb6mr2ehwSw0Uhn,192227.0,4.0,192227.0,0.2828309475946513,-8.345,0.761211975471925,0.40085691351658803
01vHGJRvJ6EZW9KO8NtZpi,Un Polvo,Maluma,ar,12037,Argentina,0.0,0.8109999999999999,0.6809999999999999,6.0,-4.715,0.0,0.0712,0.6729999999999999,0.0,0.636,0.468,134.062,audio_features,01vHGJRvJ6EZW9KO8NtZpi,spotify:track:01vHGJRvJ6EZW9KO8NtZpi,https://api.spotify.com/v1/tracks/01vHGJRvJ6EZW9KO8NtZpi,https://api.spotify.com/v1/audio-analysis/01vHGJRvJ6EZW9KO8NtZpi,306373.0,4.0,306373.0,0.48358474604589974,-4.715,0.8485030660093783,0.47570926604187824
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,ie,3553,Ireland,0.030393865458347855,0.608,0.174,1.0,-8.796,1.0,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,audio_features,02WacdrRpm4zlP8H7X6bnQ,spotify:track:02WacdrRpm4zlP8H7X6bnQ,https://api.spotify.com/v1/tracks/02WacdrRpm4zlP8H7X6bnQ,https://api.spotify.com/v1/audio-analysis/02WacdrRpm4zlP8H7X6bnQ,260004.0,4.0,260004.0,0.40203346189765155,-8.796,0.7503667187687868,0.3593614612182844
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,nl,27914,Netherlands,0.1907165803448502,0.608,0.174,1.0,-8.796,1.0,0.0332,0.851,1.92e-05,0.0855,0.193,112.175,audio_features,02WacdrRpm4zlP8H7X6bnQ,spotify:track:02WacdrRpm4zlP8H7X6bnQ,https://api.spotify.com/v1/tracks/02WacdrRpm4zlP8H7X6bnQ,https://api.spotify.com/v1/audio-analysis/02WacdrRpm4zlP8H7X6bnQ,260004.0,4.0,260004.0,0.40203346189765155,-8.796,0.7503667187687868,0.3593614612182844
02djQtbRlUjbQGrJjaG0Oj,Mina områden,Kartellen,se,13675,Sweden,0.0,0.517,0.6709999999999999,6.0,-7.0939999999999985,1.0,0.218,0.0491,0.0,0.0516,0.5920000000000001,84.97,audio_features,02djQtbRlUjbQGrJjaG0Oj,spotify:track:02djQtbRlUjbQGrJjaG0Oj,https://api.spotify.com/v1/tracks/02djQtbRlUjbQGrJjaG0Oj,https://api.spotify.com/v1/audio-analysis/02djQtbRlUjbQGrJjaG0Oj,276333.0,4.0,276333.0,0.43075202211798724,-7.0939999999999985,0.791294938078634,0.21474401569236168
03HsZP3FKOd0qWlRU01MxT,Wosk,Taco Hemingway,pl,4545,Poland,0.034062073004099164,0.6409999999999999,0.507,10.0,-12.01,0.0,0.481,0.171,0.0,0.461,0.503,190.083,audio_features,03HsZP3FKOd0qWlRU01MxT,spotify:track:03HsZP3FKOd0qWlRU01MxT,https://api.spotify.com/v1/tracks/03HsZP3FKOd0qWlRU01MxT,https://api.spotify.com/v1/audio-analysis/03HsZP3FKOd0qWlRU01MxT,233726.0,4.0,233726.0,0.3558171396813504,-12.01,0.6730792353011904,0.7735079764189308
03m5ynXvoV7XkMKQUvtYgy,我以為,Victor Wong,tw,3301,Taiwan: Province of China,0.07471656031224831,0.417,0.654,8.0,-6.3210000000000015,1.0,0.0326,0.691,0.0,0.104,0.265,154.001,audio_features,03m5ynXvoV7XkMKQUvtYgy,spotify:track:03m5ynXvoV7XkMKQUvtYgy,https://api.spotify.com/v1/tracks/03m5ynXvoV7XkMKQUvtYgy,https://api.spotify.com/v1/audio-analysis/03m5ynXvoV7XkMKQUvtYgy,298427.0,4.0,298427.0,0.46960975189372955,-6.3210000000000015,0.8098833714079596,0.5817018132332538
04CttTezSnv71USiiG9mIo,Lighthouse - Andrelli Remix,Hearts & Colors,fr,20119,France,0.010146533978099078,0.595,0.662,11.0,-6.858,0.0,0.0362,0.0178,0.0,0.0804,0.417,96.053,audio_features,04CttTezSnv71USiiG9mIo,spotify:track:04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/tracks/04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/audio-analysis/04CttTezSnv71USiiG9mIo,218447.0,4.0,218447.0,0.32894526255436723,-6.858,0.7969700613201877,0.27365947787812905
04CttTezSnv71USiiG9mIo,Lighthouse - Andrelli Remix,Hearts & Colors,hk,3740,Hong Kong,0.36848509430135873,0.595,0.662,11.0,-6.858,0.0,0.0362,0.0178,0.0,0.0804,0.417,96.053,audio_features,04CttTezSnv71USiiG9mIo,spotify:track:04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/tracks/04CttTezSnv71USiiG9mIo,https://api.spotify.com/v1/audio-analysis/04CttTezSnv71USiiG9mIo,218447.0,4.0,218447.0,0.32894526255436723,-6.858,0.7969700613201877,0.27365947787812905
04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,be,5073,Belgium,0.09165218034545253,0.49,0.485,4.0,-6.237,0.0,0.0406,0.0592,0.0,0.337,0.196,133.889,audio_features,04DwTuZ2VBdJCCC5TROn7L,spotify:track:04DwTuZ2VBdJCCC5TROn7L,https://api.spotify.com/v1/tracks/04DwTuZ2VBdJCCC5TROn7L,https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L,195840.0,4.0,195840.0,0.289185296181587,-6.237,0.8119033305278345,0.4747896256053414
